True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
97294.207,3.0,127200,3.43,4.3983132023481915,4.324787340142039,4.362867000434255
97294.207,3.0,127200,3.43,5.50572272832788,5.410096907298094,5.440118887555051
97294.207,3.0,127200,3.43,5.2124194018011405,5.126814437836378,5.205887451408627
97294.207,3.0,127200,3.43,4.058927579908129,3.9780903900283584,4.03910707253889
97294.207,3.0,127200,3.43,5.229487888189269,5.112968415536107,5.206125365670174
97294.207,3.0,127200,3.43,4.345279889652502,4.257731017756678,4.350118415265956
97294.207,3.0,127200,3.43,4.716777844191145,4.6448858370875685,4.686503971843021
97294.207,3.0,127200,3.43,5.732982974851909,5.63312625179297,5.715332813241089
97294.207,3.0,127200,3.43,4.374512503735991,4.29921918731741,4.349900145610789
97294.207,3.0,127200,3.43,4.316586870416358,4.232260610781126,4.301732460776261
97294.207,3.0,127200,3.43,4.767367995444496,4.695411057847784,4.7504854440705895
97294.207,3.0,127200,3.43,6.028178273087421,5.875975873697038,5.98187998690121
97294.207,3.0,127200,3.43,5.942798077758004,5.837687458277698,5.909666928235
97294.207,3.0,127200,3.43,4.649853125185503,4.5922262422855225,4.648822047829734
97294.207,3.0,127200,3.43,5.64068732122567,5.536721292616395,5.641941822763362
97294.207,3.0,127200,3.43,3.85094912156503,3.7686559336172505,3.8184093385437397
97294.207,3.0,127200,3.43,4.564458458184601,4.484907225998994,4.532633581376497
97294.207,3.0,127200,3.43,5.7600803794276185,5.636585168863498,5.745662349706113
97294.207,3.0,127200,3.43,4.5363335392826825,4.437914378562387,4.528861582269181
97294.207,3.0,127200,3.43,4.85293412830562,4.788664174769963,4.836719159286453
97294.207,3.0,127200,3.43,5.253806555660671,5.149399847502722,5.252759604748791
97294.207,3.0,127200,3.43,5.932108531394192,5.832209865635223,5.915813581734931
97294.207,3.0,127200,3.43,4.936539523537977,4.847768869634312,4.923000402577052
97294.207,3.0,127200,3.43,4.047292520687275,3.976113699873068,4.025378100871829
97294.207,3.0,127200,3.43,3.8947537986844036,3.80699920999724,3.885669039442289
97294.207,3.0,127200,3.43,4.457248930070845,4.386722054075139,4.460493636428133
97294.207,3.0,127200,3.43,5.033390955691866,4.960213366648264,5.033545613440904
97294.207,3.0,127200,3.43,3.3348422536167397,3.264279993331141,3.3099616958132407
97294.207,3.0,127200,3.43,7.661449832747567,7.457615595274724,7.635076352936409
