True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,7.295109892985118,7.197467997814282,20
84.0,3.0,208,7.429,8.125610664303052,8.010878933911316,20
84.0,3.0,208,7.429,8.110604637190185,7.947489993105281,20
84.0,3.0,208,7.429,8.018554292995736,7.888826293450631,20
98.0,3.5,208,7.429,1.4984385497408048,1.4550027372034886,3.5195909146927193
98.0,3.5,208,7.429,2.279540585967038,2.227291321603689,5.530340030476169
98.0,3.5,208,7.429,1.6751391673259255,1.6349042556717217,4.108462134298143
98.0,3.5,208,7.429,1.2569876578833425,1.2314123324805029,3.099786833464546
98.0,3.5,208,7.429,2.049177959953141,2.0193023005019746,4.896114472061352
98.0,3.5,208,7.429,0.22517448138928273,0.21963194586961224,0.5451343347290821
98.0,3.5,208,7.429,0.8396407156589245,0.8242963599700042,2.0395572424497916
98.0,3.5,208,7.429,0.7834269668774204,0.7712399344825994,1.9006387272919492
98.0,3.5,208,7.429,1.538985897603219,1.5109936405516318,3.789881202902153
98.0,3.5,208,7.429,1.5569655451304643,1.5218190719806806,3.8036284337532873
98.0,3.5,208,7.429,1.7132709774525456,1.6775300851822446,4.18515802452821
98.0,3.5,208,7.429,2.2836228640326435,2.2288266959030407,5.49363738803894
98.0,3.5,208,7.429,2.5538988559897553,2.506932675650007,6.1002499352152
98.0,3.5,208,7.429,2.1656770025793604,2.1082381907838164,5.205033574972303
98.0,3.5,208,7.429,1.2994428790136436,1.2740787442880042,3.135410658375401
98.0,3.5,208,7.429,2.48141198664964,2.4329507960875,5.9648086425673945
98.0,3.5,208,7.429,1.757048918082585,1.729961921423838,4.2393280647766325
98.0,3.5,208,7.429,3.3600303242403626,3.292657224529586,8.083269047334616
98.0,3.5,208,7.429,2.794124300567109,2.7385941643368645,6.709435793536107
98.0,3.5,208,7.429,1.8004219910687032,1.7716263011886224,4.360581845948906
98.0,3.5,208,7.429,1.7726177489008184,1.7399688861531024,4.317060163264375
98.0,3.5,208,7.429,0.9605984242740598,0.9409273301762451,2.3096973104027607
98.0,3.5,208,7.429,1.9962829356389846,1.9650373669933356,4.861460636835161
98.0,3.5,208,7.429,0.7146560471372335,0.7006613184570142,1.708112129675043
98.0,3.5,208,7.429,2.2854435644568847,2.2396069568484895,5.406957120367243
98.0,3.5,208,7.429,0.13996952352859857,0.13700349782975768,0.339497517177279
98.0,3.5,208,7.429,0.7770524763259953,0.7601794431475843,1.8554748253063085
98.0,3.5,208,7.429,3.746791562156421,3.68336709296,9.022833633432242
98.0,3.5,208,7.429,3.101676435094694,3.0398925455102694,7.571744012105779
98.0,3.5,208,7.429,3.3268485137879704,3.2643409560361096,7.9831875180153045
98.0,3.5,208,7.429,0.17260024785765354,0.1694737318902903,0.42088827604160856
98.0,3.5,208,7.429,0.4502466235052151,0.44161811780679855,1.0990733882795318
98.0,3.5,208,7.429,0.5037086454352715,0.4939332075753878,1.2142419903191586
98.0,3.5,208,7.429,3.938073794256384,3.8854497065108866,9.35038041357133
98.0,3.5,208,7.429,4.42780951147841,4.34597858157897,10.575776312417263
98.0,3.5,208,7.429,4.688181253326136,4.605681981868004,11.229549976717806
98.0,3.5,208,7.429,4.679743389858256,4.599852636264414,11.519122597572691
98.0,3.5,208,7.429,4.152393904222051,4.08992556624163,9.86824817140189
98.0,3.5,208,7.429,4.3983132023481915,4.324787340142039,10.685327240588292
98.0,3.5,208,7.429,5.50572272832788,5.410096907298094,13.308696418729046
98.0,3.5,208,7.429,5.2124194018011405,5.126814437836378,12.369020764182462
98.0,3.5,208,7.429,4.058927579908129,3.9780903900283584,9.658902399704322
98.0,3.5,208,7.429,5.229487888189269,5.112968415536107,12.45135877742879
98.0,3.5,208,7.429,4.345279889652502,4.257731017756678,10.662705130659536
98.0,3.5,208,7.429,4.716777844191145,4.6448858370875685,11.504460946328997
98.0,3.5,208,7.429,5.732982974851909,5.63312625179297,13.788997705287507
98.0,3.5,208,7.429,4.374512503735991,4.29921918731741,10.687358393629513
98.0,3.5,208,7.429,4.316586870416358,4.232260610781126,10.360910161256848
98.0,3.5,208,7.429,4.767367995444496,4.695411057847784,11.639101042257414
98.0,3.5,208,7.429,6.028178273087421,5.875975873697038,14.52802912556139
98.0,3.5,208,7.429,5.942798077758004,5.837687458277698,14.21335170866567
98.0,3.5,208,7.429,4.649853125185503,4.5922262422855225,11.33239537940579
98.0,3.5,208,7.429,5.64068732122567,5.536721292616395,13.658774780032033
98.0,3.5,208,7.429,3.85094912156503,3.7686559336172505,9.27148885375024
98.0,3.5,208,7.429,4.564458458184601,4.484907225998994,10.939252706139369
98.0,3.5,208,7.429,5.7600803794276185,5.636585168863498,13.829703180612892
98.0,3.5,208,7.429,4.5363335392826825,4.437914378562387,10.684667739913392
98.0,3.5,208,7.429,4.85293412830562,4.788664174769963,11.932787783768202
98.0,3.5,208,7.429,5.253806555660671,5.149399847502722,12.824375174790413
98.0,3.5,208,7.429,5.932108531394192,5.832209865635223,14.22135166027889
98.0,3.5,208,7.429,4.936539523537977,4.847768869634312,11.96987844626674
98.0,3.5,208,7.429,4.047292520687275,3.976113699873068,9.814607168527399
98.0,3.5,208,7.429,3.8947537986844036,3.80699920999724,9.595595690888615
98.0,3.5,208,7.429,4.457248930070845,4.386722054075139,10.693359088770222
98.0,3.5,208,7.429,5.033390955691866,4.960213366648264,12.038715016881165
98.0,3.5,208,7.429,3.3348422536167397,3.264279993331141,8.11335315878268
98.0,3.5,208,7.429,7.661449832747567,7.457615595274724,18.630713074140317
