True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
97294.207,3.0,127200,3.43,8.125610664303052,8.011181200499085,8.171751648381733
97294.207,3.0,127200,3.43,8.110604637190185,7.944716129611949,7.98285216507534
97294.207,3.0,127200,3.43,8.018554292995736,7.886599472946375,7.988258007955571
172967.479,4.0,127200,3.43,1.4984385497408048,1.4550860899993514,1.6850927041022712
172967.479,4.0,127200,3.43,2.279540585967038,2.227282457103679,2.537694071239146
172967.479,4.0,127200,3.43,1.6751391673259255,1.6349122995744498,1.8955952484773624
172967.479,4.0,127200,3.43,1.2569876578833425,1.231482171663769,1.4549409816743273
172967.479,4.0,127200,3.43,2.049177959953141,2.0194264534509276,2.2385456794987
172967.479,4.0,127200,3.43,0.22517448138928273,0.2196093775188329,0.2514949674365326
172967.479,4.0,127200,3.43,0.8396407156589245,0.8242799696721378,0.9428468607792955
172967.479,4.0,127200,3.43,0.7834269668774204,0.7712877948925868,0.8859574438186031
172967.479,4.0,127200,3.43,1.538985897603219,1.5111958712176081,1.73705199117387
172967.479,4.0,127200,3.43,1.5569655451304643,1.5219573205560022,1.7679314493696268
172967.479,4.0,127200,3.43,1.7132709774525456,1.677542118536771,1.970488394586127
172967.479,4.0,127200,3.43,2.2836228640326435,2.2288062522155005,2.5831060954086213
172967.479,4.0,127200,3.43,2.5538988559897553,2.5068314630186217,2.8922672446298408
172967.479,4.0,127200,3.43,2.1656770025793604,2.108038634550357,2.474813762571698
172967.479,4.0,127200,3.43,1.2994428790136436,1.2740641911483308,1.4811590676315851
172967.479,4.0,127200,3.43,2.48141198664964,2.4330043567268564,2.7677059355282294
172967.479,4.0,127200,3.43,1.757048918082585,1.7301469241196425,1.9566826830832729
172967.479,4.0,127200,3.43,3.3600303242403626,3.292598510100461,3.7273533313997156
172967.479,4.0,127200,3.43,2.794124300567109,2.738657767681549,3.1593963332706387
172967.479,4.0,127200,3.43,1.8004219910687032,1.7715979901089784,2.100191733373571
172967.479,4.0,127200,3.43,1.7726177489008184,1.7400301471619128,2.0253517744011633
172967.479,4.0,127200,3.43,0.9605984242740598,0.9410121519026675,1.09825882982648
172967.479,4.0,127200,3.43,1.9962829356389846,1.9652717907704453,2.257674781570467
172967.479,4.0,127200,3.43,0.7146560471372335,0.700703715889923,0.8113030268725607
172967.479,4.0,127200,3.43,2.2854435644568847,2.2394974397866054,2.500349303302303
172967.479,4.0,127200,3.43,0.13996952352859857,0.13700528096827178,0.1601279484444025
172967.479,4.0,127200,3.43,0.7770524763259953,0.7602900834941724,0.9031834924875101
172967.479,4.0,127200,3.43,3.746791562156421,3.683626635192792,4.1710474287149975
172967.479,4.0,127200,3.43,3.101676435094694,3.0396504187403486,3.665575931155337
172967.479,4.0,127200,3.43,3.3268485137879704,3.2641744072882344,3.7513664860160785
172967.479,4.0,127200,3.43,0.17260024785765354,0.16947503569055358,0.1933340455269292
172967.479,4.0,127200,3.43,0.4502466235052151,0.4416124612533724,0.5242815724587889
172967.479,4.0,127200,3.43,0.5037086454352715,0.49394393633413647,0.5674459450154893
172967.479,4.0,127200,3.43,3.938073794256384,3.8852510992783023,4.395186320842357
